x-axis,1,2,3
second,Volt,Volt,Volt
-107.800E-03,+1.662500E+00,+2.531250E+00,+2.318250E+00
-107.700E-03,+1.475000E+00,+2.343750E+00,+2.068250E+00
-107.600E-03,+1.225000E+00,+2.156250E+00,+1.818250E+00
-107.500E-03,+1.068750E+00,+1.937500E+00,+1.568250E+00
-107.400E-03,+850.000E-03,+1.625000E+00,+1.255750E+00
-107.300E-03,+725.000E-03,+1.406250E+00,+943.250E-03
-107.200E-03,+537.500E-03,+1.125000E+00,+755.750E-03
-107.100E-03,+506.250E-03,+875.000E-03,+505.750E-03
-107.000E-03,+475.000E-03,+656.250E-03,+380.750E-03
-106.900E-03,+506.250E-03,+500.000E-03,+224.500E-03
-106.800E-03,+600.000E-03,+343.750E-03,+162.000E-03
-106.700E-03,+693.750E-03,+281.250E-03,+193.250E-03
-106.600E-03,+787.500E-03,+187.500E-03,+255.750E-03
-106.500E-03,+943.750E-03,+250.000E-03,+412.000E-03
-106.400E-03,+1.193750E+00,+375.000E-03,+568.250E-03
